Name,Description,Category,Price,Tags
Sunday waali Mutton Curry aur Chawal,,,Rs 449,
Sweet Corn Soup,,,Rs 249,
Tandoori Chaap [soya],,,Rs 329,
Tandoori Chicken,,,Rs 399,SPICY
Tandoori Lollipop,,,Rs 299,SPICY
Tandoori Malai Chaap [soya],,,Rs 329,
Tandoori Prawns,,,Rs 899,
Tandoori Roti,,,Rs 44,
Tandoori Stuffed Mushrooms,,,Rs 329,
Tarri waala Chicken and Chawal,,,Rs 299,
Tawa Anda Masala,,,Rs 299,
Tawa Keema Masala,,,Rs 699,
Tawa Masala Chaap,,,Rs 299,
Tawa Mushroom Masala,,,Rs 299,
Thai Green Curry,,,Rs 449,
Thai Red Curry,,,Rs 449,
Three Dozen Vada Pav Sliders!,,,Rs 1199,
Tiranga Paneer Bread Pakoda,,,Rs 229,
Titu Paaji da Keema Mattar,,,Rs 349,
Triple Szechwan,,,Rs 349,
Two Dozen Vada Pav Sliders!,,,Rs 799,
Two Galouti Pav,,,Rs 399,
Two Vada Pav,,,Rs 149,"SPICY, BESTSELLER"
Vada Pav,,,Rs 79,"SPICY, BESTSELLER"
Veg Biryani,,,Rs 349,
Veg Butter Garlic,,,Rs 249,
Veg Manchurian [gravy],,,Rs 249,
Veg Spring Rolls,,,Rs 299,
Veggies Hot Garlic,,,Rs 249,
